City,Attack,Target
New York City,3,1
New York City,3,1
Chicago,3,3
Chicago,3,3
New York City,3,1
Appleton,7,4
Appleton,7,8
Unknown,6,10
Alexandria,3,6
New York City,3,4
Long Beach,4,4
San Juan,3,1
Billings,3,3
San Bernardino,7,2
Los Angeles,3,8
Lockland,3,21
Portland,3,4
Detroit,1,14
Washington,3,2
New York City,7,1
New York City,7,1
New York City,3,1
New York City,3,1
New York City,3,1
Orlando,3,13
Angeles City,9,4
Santo Domingo,6,4
"Ituzaingo, corrientes province",6,7
New York City,3,1
Cleveland,3,13
Richmond,3,3
San Francisco,3,3
Buenos Aires,6,7
Beirut,3,7
Biggsville,7,2
Fort Benning,7,4
Guatemala City,6,7
Fukouka,4,6
Washington,3,2
Seattle,3,8
Unknown,6,2
East Lansing,3,8
Ithaca,7,13
Houston,7,4
Clark,9,4
New York City,3,1
Dublin,2,1
New York City,3,1
New York City,3,14
Pullman,7,8
Porto Alegre,6,7
Buenos Aires,2,4
Trona,3,21
Trona,7,1
New York City,3,12
Houston,7,8
Lawrence,3,1
Baxter Springs,3,14
Los Angeles,7,8
East St. Louis,3,1
San Diego,3,4
Ithaca,7,8
Freeport,7,1
Berkeley,3,21
Kansas City,3,8
Kansas City,3,15
Kansas City,3,3
Trona,3,1
Long Beach,3,8
Los Angeles,3,1
Amman,3,7
Los Angeles,7,14
Los Angeles,7,8
Los Angeles,7,8
Kansas City,3,1
Kansas City,3,14
Kansas City,3,14
Trona,3,1
Oakland,2,3
Seattle,3,15
Seattle,3,1
Seattle,3,1
Seattle,3,2
New York City,3,3
Lawrence,7,8
Manilla,3,6
Los Angeles,7,1
Trona,3,1
Berkeley,7,8
Berkeley,7,8
Milwaukee,7,2
Urbana,3,3
Redlands,7,8
Aguada Relay Station,3,21
Aguada,3,16
Aguada,3,16
Aguada,3,3
Palo Alto,7,8
Baltimore,2,3
New York City,3,4
New York City,1,7
Istanbul,3,6
Philadelphia,7,8
East Lansing,3,1
East Lansing,3,1
East Lansing,3,1
Baton Rouge,3,2
Baton Rouge,3,13
Robbinsdale,3,2
Iowa City,3,1
New Haven,7,8
Evanston,7,8
Fullerton,3,8
Ames,7,14
St. Charles,3,14
West Berlin,7,1
East Berlin,7,2
New York City,3,3
Baton Rouge,3,13
Boston,7,15
Rio Piedras,3,1
New York City,7,4
Greencastle,3,4
New Haven,3,8
New York City,3,1
New York City,3,1
Champaign,7,1
Champaign,7,1
Asuncion,1,7
Jennings,7,2
Chapel Hill,3,4
Norman,7,2
Maryville,7,4
East Berlin,7,7
Lewiston,7,4
Coral Gables,3,8
Orlando,7,2
New York City,3,1
Oakland,7,2
Longview,3,4
Reading,7,4
Portland,7,2
San Pedro,7,4
Portland,7,2
Boston,7,15
New York City,3,1
New London,7,4
New York City,7,8
Los Angeles,3,2
Sacramento,2,3
East Berlin,7,1
Washington,3,13
Geneva,3,6
Houston,3,16
Detroit,7,2
Des Moines,3,3
Salt Lake City,3,4
Oxford,7,14
Miami,7,1
Melrose,7,4
New York City,3,8
Long Beach,3,8
Oxford,7,1
West Berlin,7,1
Montevideo,1,4
West Berlin,2,1
Seattle,3,1
New York City,3,4
Afton,7,2
Quincy,3,21
Carlisle,7,2
Miami,7,8
Trona,3,14
New York City,8,17
St. Paul,2,3
Ames,3,3
Oxford,7,1
Oxford,7,1
Oxford,7,1
Los Angeles,3,2
Boston,7,15
Boston,7,15
Sacramento,2,3
Phoenix,3,2
New York City,3,8
Fullerton,7,8
Buenos Aires,6,2
Montevideo,2,4
Oakland,3,14
San Diego,7,4
New York City,3,1
Unknown,1,2
Roxas,3,6
Baton Rouge,3,21
Joliet,1,14
Portland,7,2
Oakland,3,3
Los Angeles,3,4
Ouezon City,3,7
West Berlin,2,1
West Berlin,2,2
New York City,7,1
Berkeley,3,3
Amman,9,4
Amman,6,7
Los Angeles,3,3
Chicago,3,2
Oakland,3,4
Barquismeto,6,1
Tehran,3,6
New York City,3,3
Amman,5,1
Amman,5,1
Galesburg,7,2
Newark,1,14
Amman,1,4
Rio de Janeiro,6,7
Tehran,3,6
Omaha,3,3
Montevideo,9,7
Cairo,3,2
Cairo,2,3
Des Moines,3,2
Kansas City,7,1
West Berlin,7,2
West Berlin,7,2
Manhattan Beach,3,3
Providence,7,2
Emeryville,3,3
New York City,7,8
New York City,7,13
Berkeley,3,1
Berkeley,3,1
Chicago,2,3
San Francisco,2,3
Des Moines,3,3
West Berlin,7,2
San Francisco,3,4
New York City,3,1
Longview,3,14
Londonderry,2,17
Londonderry,2,14
Belfast,2,14
Belfast,2,14
Belfast,2,15
Detroit,2,3
Des Moines,3,8
Whitefish Bay,3,1
Plainfield,2,3
New York City,7,1
New York City,7,1
New York City,7,1
New York City,7,1
Wauwatosa,3,1
Boston,7,15
Rio de Janeiro,4,6
Washington,3,13
Berkeley,3,8
Washington,3,7
Washington,3,7
Washington,3,7
Washington,3,7
Omaha,3,1
Compton,3,3
New York City,3,14
Seattle,3,1
New York City,3,6
New York City,7,4
Longview,3,8
Akron,3,14
Long Beach,3,13
San Francisco,1,14
New York City,3,3
New York City,3,13
New York City,3,7
New York City,3,1
New York City,3,7
Oneonta,3,1
Petaluma,7,10
Munich,7,2
Des Plaines,7,2
Manizales,6,2
Unknown,6,1
New Bedford,2,14
Palo Alto,3,1
Chicago,7,13
New York City,7,4
Chicago,7,13
New York City,7,4
St. Paul,7,2
Chicago,2,3
New York City,3,1
New York City,7,12
Unknown,6,1
San Diego,3,1
New York City,3,3
Milwaukee,3,1
Athens,4,6
Jones Island,3,21
Camden,7,4
Managua,6,1
Los Angeles,3,2
Recife,6,7
New York City,7,12
St. Louis,1,1
Sparta,3,4
New York City,3,1
Sparta,3,21
Sparta,3,16
San Francisco,3,4
San Francisco,3,4
Montevideo,6,2
Houston,3,1
Pamplona,3,10
Pontiac,7,2
Alameda,3,2
Chicago,3,21
Montevideo,6,7
Montevideo,6,7
Montevideo,6,2
Garin,2,14
Charlotte,2,14
Amsterdam,2,7
New York City,3,1
Brussels,3,7
Berkeley,3,3
Milwaukee,3,1
Tucuman,1,3
Placentia,3,1
San Jose,2,3
East Berlin,3,2
Dundalk,7,2
San Rafael,6,2
Santa Fe,2,1
Portland,7,2
Crossmaglen,3,3
East Berlin,3,3
East Berlin,3,3
West Point,1,14
Omaha,3,14
Minneapolis,3,4
New York City,7,12
Montevideo,6,2
Washington,3,7
Reisterstown,7,2
Berkeley,2,3
Montevideo,5,16
Eugene,7,8
St. Paul,3,3
Baltimore,7,4
Madison,3,4
Mexico city,6,7
Burlington,7,3
East Berlin,3,1
Cambridge,7,8
Rocky Mount,3,8
Walnut Creek,7,4
Washington,3,7
Berkeley,7,1
Walnut Creek,7,2
Santa Fe Springs,3,2
Washington,3,7
Athens,7,8
Ankana,3,4
Amman,6,4
Montevideo,7,1
Philadelphia,2,1
Athens,3,7
San Francisco,3,3
Milpitas,3,1
Fremont,3,1
Memphis,3,13
St. Paul,3,1
Montevideo,1,2
Belfast,3,17
Milwaukee,3,1
Santa Ana,3,2
DeWitt,3,3
Los Angeles,3,2
Frankfurt,4,6
Zurich,4,6
Amsterdam,4,6
Tel Aviv,4,6
Rochester,7,2
Fitchburg,3,3
East Berlin,3,14
Cordoba,3,7
Madison,7,13
Gainesville,7,8
Amman,6,7
Montevideo,3,1
Buenos Aires,6,10
London,6,7
Montevideo,7,1
Montevideo,7,1
Rosario,2,3
Toledo,2,3
Newburyport,3,4
Brighton,2,3
Montevideo,7,1
New York City,3,2
East Berlin,3,7
New York City,3,4
Monteridco,6,3
New York City,3,7
New York City,4,6
Belfast,2,14
Tehran,2,1
Baltimore,7,14
Izmir,3,4
Eugene,3,8
Glen Burnie,7,9
Ankara,3,7
Ankara,3,1
Quebec,6,2
Chicago,3,13
Bluefield,3,8
Ankara,2,4
New York City,3,17
Seattle,3,4
Santa Barbara,3,4
San Rafael,3,2
Berkeley,3,8
Montevideo,7,1
Stuttgart,3,7
Houston,3,16
Quebec,6,2
Tehran,4,6
New York City,3,2
Cambridge,3,8
Munich,3,3
Cambridge,3,8
Montevideo,7,10
Montevideo,7,1
Montevideo,7,6
Montevideo,7,1
Kansas City,3,3
Buenos Aires,7,2
Munich,3,3
Irvine,3,8
Irvine,3,8
Buenos Aires,3,7
Cairo,7,2
Melbourne,3,7
Cairo,2,3
San Francisco,3,15
Detroit,2,3
Rome,8,8
Cairo,7,1
Cairo,2,3
Washington,3,2
Irvine,7,1
Buenos Aires,1,13
Ankara,3,4
London,7,6
Stuart,7,2
Whitefish Bay,3,3
El Toro,7,4
New York City,3,4
New York City,3,3
New York City,3,4
New York City,3,20
Teheran,6,7
Karachi,1,2
Fresno,3,10
Fresno,3,4
New Castle,2,14
Ann Arbor,7,4
Buenos Aires,2,13
Ensenada,2,14
East Berlin,3,15
Cairo,7,1
Minneapolis,7,4
Cairo,2,14
Frankfurt,2,4
Ankara,7,6
Chicago,7,2
San Juan,3,1
San Juan,3,1
San Juan,3,1
San Juan,3,1
Buenos Aires,1,3
St. Petersburg,8,3
Belfast,2,14
St. Petersburg,7,3
Buenos Aires,3,2
Buenos Aires,3,2
Buenos Aires,2,4
Ankara,3,7
Montevideo,2,1
Portland,3,2
Chattanooga,3,14
Manila,3,7
St. Petersburg,3,20
San Juan,3,7
Ankara,3,7
New York City,3,6
New York City,3,18
Berkeley,3,8
San Juan,3,4
Montevideo,7,1
Frankfurt,2,4
Montevideo,2,1
Donostia-San Sebastian,6,7
Montevideo,3,1
Montevideo,3,1
Eugene,3,8
Rio de Janciro,6,7
Lawrence,3,8
Montevideo,3,1
Montevideo,3,1
New York City,3,1
Bridgeport,7,13
Isla Vista,3,1
Storrs,7,4
Montevideo,3,8
Montevideo,1,10
Hollywood,7,2
Montevideo,3,1
San Mateo,3,2
Whitefish Bay,3,4
Belfast,2,14
Ankara,3,4
College Park,3,4
Ankara,2,3
Cordoba,2,1
Berberana,3,16
Wiesloch,2,1
El Monte,3,2
Mount Gilead,7,14
Munich,3,3
Claremont,7,4
Oxnard,3,4
Pomona,7,13
Malatya,3,4
Montevideo,6,7
Munich,3,3
Washington,3,7
Pomona,7,8
Pomona,7,8
Montevideo,1,3
Ankara,2,1
Pomona,7,8
Rolling Hills Estates,7,2
Hunters Point,2,3
Munich,7,3
Unknown,6,2
New York City,3,4
New York City,3,4
Munich,3,7
New York City,7,7
San Francisco,3,3
San Francisco,3,2
Cleveland,7,14
Unknown,2,8
Ankara,3,7
Ankara,3,4
Bahar Dar,4,6
Banfield,2,1
New York City,2,3
Ankara,7,7
Ankara,3,4
West Palm Beach,3,8
Montevideo,2,8
Montevideo,2,10
Montevideo,2,8
Belfast,1,14
Santo Domingo,2,8
Santo Domingo,2,10
Munich,3,2
Ankara,3,2
Los Angeles,3,2
Cordoba,3,1
Izmir,3,2
Izmir,3,4
Montevideo,6,1
Oakland,3,4
Charlotte,7,13
Santa Barbara,7,4
Frankfurt,3,8
Belfast,1,4
Nutt's Corner,1,14
Ankara,3,4
Gilan Province,2,3
Trillick,3,14
West Palm Beach,3,8
Ankara,3,14
Gothenburg,2,7
Akron,3,14
Caracas,6,1
Ankara,3,7
Manila,3,7
Ankara,3,14
Santa Cruz,7,4
Atlanta,3,4
Bristol,7,2
Ankara,6,4
Belfast,1,4
San Juan,3,1
San Juan,3,1
San Juan,3,4
San Juan,7,1
Rio Piedras,7,1
Ankara,3,4
Istanbul,3,8
Istanbul,3,4
San Jose,6,14
Ankara,3,7
Miami,2,3
Caracas,6,1
ANkara,2,7
Los Angeles,3,1
Belfast,1,3
Honolulu,7,4
Berkeley,3,1
Rio Piedras,3,2
Angeles City,3,1
Tarlas,3,4
Caracas,6,1
Vernon,3,1
Washington,3,2
New York City,3,8
New York City,7,7
Santa Barbara,3,21
Berkeley,3,1
Ankara,6,4
Honolulu,7,8
Texarkana,7,15
Texarkana,7,15
Texarkana,7,15
Texarkana,7,15
Belfast,1,17
St. Louis,3,2
St. Louis,3,4
Fort Lupton,3,3
Munich,2,1
Monterideo,6,2
Heidelberg,3,2
Ligoniel,1,4
Houston,3,13
Portland,3,3
Istanbul,3,1
Istanbul,3,10
Rotterdam,3,21
Montevideo,2,10
San Mateo,7,2
San Francisco,3,2
Ithaca,7,4
San Andres,3,1
Jacksonville,3,4
West Berlin,7,1
New York City,7,1
Medford,7,8
Mill Valley,3,1
Detroit,3,8
Thousand Oaks,7,1
Milan,3,7
Ankara,2,14
Baltimore,3,21
Cordoba,3,10
Izmir,3,8
San Francisco,3,3
New York City,3,7
Manila,4,6
New York City,3,13
Denver,7,4
Pahlavi Naval Station,9,4
Isfahan,3,4
Gholhak,2,3
Los Angeles,3,2
Unknown,3,21
Madrid,3,10
Riverside,2,3
Barcelona,3,8
Los Angeles,7,1
Ypsilanti,6,14
Sylvester,7,2
Ben Lomond,3,1
San Juan,7,1
San Juan,7,1
Ankara,3,2
Ankara,3,4
Ankara,3,4
Los Angeles,3,1
San Jose,3,1
Tehran,1,4
Stockholm,1,7
Fresno,3,2
Ankara,3,4
LaPlata,2,3
New York City,3,7
Palo Alto,7,8
San Juan,3,1
Los Angeles,3,2
New York City,1,22
New York City,2,3
Barcelona,3,19
New York City,3,18
San Juan,3,1
Fresno,3,4
Berkeley,3,1
Richfield,7,2
New York City,3,1
Fresno,3,2
Palo Alto,3,8
Los Gatos,7,2
Mill Valley,3,1
Palo Alto,2,21
Youngstown,3,4
Claremont,7,4
Claremont,7,8
Claremont,7,8
Mill Valley,3,8
Los Angeles,3,1
Oakland,3,1
Los Angeles,3,1
Pilar,2,4
Los Angeles,3,1
Los Angeles,3,1
Los Gatos,7,1
Berkeley,1,4
San Jose,7,4
Braintree,3,2
Santa Cruz,3,1
Pamplona,3,10
La Paz (Wood mill area city),6,1
Ankara,3,4
Chico,7,4
Fresno,3,16
San Bruno,7,1
Tehran,3,13
Barcelona,3,2
Chico,3,1
Chico,7,1
Tempe,7,8
Kansas City,7,4
Riverside,3,8
West Berlin,3,1
Caracas,3,4
Cupertino,3,21
Los Angeles,3,21
Burlingame,7,4
Hawthorne,3,4
Iowa City,3,13
Donostia-San Sebastian,6,7
Belfast,7,1
Los Angeles,3,2
Berkeley,3,1
Greensboro,3,8
Altadena,7,1
Santo Domingo,1,2
Los Angeles,3,1
Los Angeles,7,1
Los Angeles,7,1
Baltimore,7,4
Unknown,6,1
West Palm Beach,3,14
Chicago,2,3
Tehran,2,1
Ankara,3,7
Kalamaki,2,4
Istanbul,6,7
East Berlin,7,3
Ahwaz,9,19
East Berlin,7,3
East Berlin,7,3
East Berlin,7,3
New York City,2,3
San Jose,7,1
New York City,1,3
San Bruno,7,10
Belfast,1,4
Cordoba,6,1
Oakland,3,1
Walnut Creek,3,21
Belfast,3,4
Bedford Park,3,3
Donostia-San Sebastian,6,7
Cairo,2,3
El Sereno,3,1
Miramar,3,16
New York City,2,1
Unknown,3,21
Menlo Park,3,1
Petaluma,3,1
Aden,3,11
Los Angeles,3,10
Pasadena,3,10
Madrid,3,2
Los Angeles,3,18
Los Angeles,3,10
East Los Angeles,3,13
Santa Cruz,3,2
Los Angeles,3,10
New York City,2,1
San Jose,3,2
Glen Cove,3,7
Los Angeles,3,8
Los Angeles,3,8
Oakland,3,1
Los Angeles,3,8
Freeport,7,2
Los Angeles,3,1
Bilbao,3,1
New York City,3,1
Los Angeles,3,4
Pamplona,3,1
San Jose,3,2
Montebello,7,8
Los Angeles,3,1
Los Angeles,3,2
Providence,3,2
San Diego,3,2
Belfast,1,4
Belfast,1,4
Eibar,3,13
Madrid,3,19
Lerida,3,21
Los Angeles,3,1
San Francisco,6,1
Santa Cruz,3,4
New York City,2,7
Selcuk,3,1
Cordoba,1,4
Ben Lomond,7,1
Barcelona,3,1
Beverly Hills,3,1
Belfast,1,4
Belfast,3,1
Clady,1,4
Londonderry,1,4
New York City,3,1
Belfast,1,14
Belfast,1,14
Pittsburgh,3,1
Belfast,1,4
Fayetteville,9,3
Atlanta,2,1
Vernon,2,21
Cleveland,3,22
New York City,3,1
Hoboken,7,1
New York City,3,1
New York City,3,1
New York City,3,1
New York City,3,1
New York City,3,1
New York City,3,1
New York City,3,1
New York City,3,1
Hoboken,7,1
Hoboken,7,1
Hoboken,7,1
Hoboken,7,1
Hoboken,7,1
New York City,3,8
New York City,2,1
Madrid,3,6
Hammond,7,2
Madrid,3,6
Belfast,1,4
Belfast,3,1
Los Angeles,7,1
San Francisco,2,3
Rome,4,6
San Francisco,3,3
Sacramento,3,2
San Mateo,3,2
San Francisco,2,3
Vernon,3,1
San Francisco,3,1
Crossmaglen,1,4
Belfast,1,4
Pontiac,3,19
Punom Penh,1,7
Phnom Penh,1,7
Columbus,3,8
Kannapolis,7,8
Fort Bragg,3,4
Kinawley,1,4
Belfast,1,4
Newry,3,4
San Francisco,3,1
Beirut,4,6
Unknown,3,1
Hillview,3,4
Belfast,3,14
Belfast,3,14
Londonderry,1,4
Edendork,1,4
Belfast,1,4
Unknown,3,1
Jerusalem,3,18
Belfast,1,14
Belfast,1,4
Albany,3,2
Belfast,1,4
Strabane,1,3
Plainfield,2,3
Rome,3,6
New York City,7,7
New York City,3,7
Tehran,6,2
West Berlin,7,2
New York City,7,1
Los Angeles,3,1
Portland,3,4
Detroit,4,6
Londonderry,1,4
Belfast,3,1
Londonderry,1,4
London,6,7
Belfast,1,4
Lambeg,3,21
Belfast,1,14
Tampa,7,4
Belfast,3,4
Amman,4,6
Atlanta,2,1
Belfast,3,1
Tehran,2,4
Istanbul,3,7
Santa Cruz,3,1
San Francisco,3,7
Boston,3,8
Belfast,1,3
Belfast,1,4
Londonderry,1,4
Belfast,1,4
Los Angeles,3,1
New York City,2,7
Belfast,1,4
Belfast,3,17
Belfast,1,14
Londonderry,3,4
Dublin,1,14
Nassau (County),7,8
Belfast,1,3
Montjuic,3,16
Los Angeles,7,1
Belfast,3,1
Atlanta,1,3
Sao Paulo,7,1
Sao Paulo,7,1
Sao Paulop,2,7
Izmir,6,1
Lurgan,1,4
Londonderry,1,4
Amman,3,1
New York City,3,4
Belfast,1,3
Belfast,1,11
Norman,7,8
Cambridge,3,1
San Francisco,7,1
Norman,2,8
Norman,7,8
Boise,3,4
Wellesley,3,1
Deer Park,3,1
Belfast,1,4
West Berlin,7,1
Penghu Islands,3,6
Camden,7,1
Sydney,3,1
Strabane,2,4
Lurgan,3,4
Newry,3,4
Belfast,1,4
Cairo,1,2
Belfast,1,3
Eibar,3,2
West Berlin,2,8
Crossmaglen,1,4
Shiraz,3,4
Akron,7,4
"New Lodge, Belfast",3,1
"New Lodge, Belfast",1,4
New York City,3,1
Belfast,3,12
Shakopee,3,1
Palo Alto,3,8
Caledon,1,4
"Ballymurphy, Belfast",1,15
Urnieta,7,1
Clady,1,4
Belfast,3,1
Strabane,1,4
London,1,7
Geneva,1,7
Cambridge,3,1
"Lower Falls, Belfast",1,4
Belfast,3,1
Belfast,1,4
Cambridge,3,3
Belfast,3,1
Camden,7,1
Ankara,3,7
Londonderry,1,4
Panama City,3,6
Roxas,3,6
Unknown,3,1
Abadiano,6,1
Zarate,2,14
"Lower Falls, Belfast",1,4
Buffalo,3,2
San Diego,1,14
San Francisco,3,1
San Francisco,3,1
Chicago,3,1
Chicago,3,1
Chicago,3,1
New York City,3,1
New York City,3,1
New York City,3,1
"Lower Falls, Belfast",1,3
Newtownabbey,1,4
Gaza,2,14
Tehran,3,2
Tehran,3,7
Tehran,3,12
Ankara,3,2
Palo Alto,7,8
Palo Alto,3,8
Belfast,1,14
Madrid,3,1
Keady,3,4
New York City,3,6
Vienna,3,19
Unknown,3,6
New York City,3,1
New York City,7,18
New York City,7,1
Castlewellan,3,17
New York City,1,3
Londonderry,1,3
Belfast,1,3
Belfast,3,14
"Northern Ireland, Belfast",3,4
"Lower Falls, Belfast",1,4
Palo Alto,7,14
Jackson,3,8
El Monte,1,14
Kladow,3,11
dublin,7,7
Stewartstown,3,14
Rio de Janeiro,2,4
ravenstein,3,21
Keady,3,2
Hamburg,3,21
Belfast,1,14
Armagh,2,14
Cullyhanna,3,4
Newtownbutler,1,4
Manchester,3,3
Londonderry,6,4
Moira,1,4
"Lower Falls, Belfast",1,4
Cairo,4,6
Belfast,3,17
Hamburg,3,21
Aldershot,3,4
Aldershot,3,14
New Delhi,4,6
Madrid,3,10
Lurgan,1,4
Newry,1,3
San Juan,3,1
San Juan,3,1
New York City,3,1
Frevagh,1,4
Unknown,3,4
Belfast,1,4
Madrid,3,1
Madrid,3,19
Madrid,7,1
Belfast,3,17
Belfast,3,1
Londonderry,1,4
Middletown,1,4
New York City,7,14
"Lower Falls, Belfast",1,4
Belfast,1,14
Coalisland,1,3
Belfast,3,4
Lurgan,3,14
New York City,6,1
Gava,7,4
Urguizo,2,1
Belfast,3,14
Londonderry,1,4
Buenos Aires,6,1
"Falls, Belfast",2,4
Belfast,2,17
Unye,6,4
"Shankill, Belfast",1,4
Clark,2,4
Isabela Province,2,4
Ballykelly,3,3
Stockholm,3,18
Biscayne  Bay,3,14
Belfast,3,4
"Andersontown, Belfast",2,4
Ottawa,3,7
Montreal,3,2
Los Angeles,3,13
Belfast,1,4
Rosario,1,4
Rosemount,3,4
West Berlin,2,4
Unknown,7,4
Talamanca,3,13
Ballymoney,3,14
"Lower Falls, Belfast",1,4
Belfast,1,14
Londonderry,1,4
Londonderry,2,4
Bellflower,3,1
Newtownhamilton,6,4
"Suffolk, Belfast",1,14
tehran,2,4
Belfast,1,14
Belfast,1,4
West Berlin,3,4
Belfast,1,4
Carrickfergus,3,1
Isasondo,1,1
Istanbul,3,14
Istanbul,3,14
Tarrasa,3,2
Stockholm,3,2
Ankara,3,2
Ankara,4,6
Ankara,1,4
West Berlin,3,7
"New Lodge, Belfast",1,14
Milan,3,21
Ankara,3,1
Vienna,4,6
San Jose,7,4
San Jose,7,4
Frankfurt,3,4
"Lower Falls, Belfast",1,4
Buenos Aires,3,1
Buenos Aires,3,1
Buenos Aires,3,1
Buenos Aires,3,1
Munich,3,3
"Ballymurphy, Belfast",1,14
Belfast,1,14
"Ballymurphy, Belfast",1,4
"Ballymurphy, Belfast",3,14
"Shankill, Belfast",1,14
"Ballymurphy, Belfast",1,14
Karlsruhe,1,2
"Ardoyne, Belfast",1,4
New York City,3,4
Menlo Park,3,1
Greenisland,1,14
Crossmaglen,1,4
Tarrasa,3,21
Barcelona,3,13
Hamburg,3,10
Washington,3,2
"Shankill, Belfast",1,14
Placentia,7,8
Killyliss,1,4
Dorado,3,1
Jericho,3,13
Londonderry,1,4
Belfast,1,14
Moortown,1,3
"Ballymurphy, Belfast",1,4
Finaghy,1,14
Jericho,7,13
Heidelberg,3,4
Paris,3,7
Paris,3,6
Paris,3,1
Paris,3,6
tehran,3,13
Belfast,3,14
Jersey City,1,22
Ciudadela,2,4
Belfast,1,3
New York City,3,8
Belfast,1,14
Belfast,3,17
Belfast,1,14
Lod Airport,3,6
Belfast,3,4
"Andersontown, Belfast",1,4
Tehran,1,4
tehran,3,1
Tehran,3,7
Tehran,3,19
tehran,1,2
Tehran,3,14
Galdacano,2,1
La Vitoria,6,1
Seattle,4,6
Rosslea,3,4
Belfast,1,14
Londonderry,1,4
Belfast,1,4
Belfast,1,4
Belfast,1,14
Legakelly,3,3
Buenos Aires,3,1
Belfast,1,4
dublin,3,7
Belfast,1,14
Belfast,1,14
Londonderry,1,4
Belfast,1,4
San Juan,3,1
Munich,3,7
Pleiku,3,6
Belfast,1,14
Craigavon,3,4
San Diego,3,1
Belfast,1,17
Belfast,1,4
Angeles City,2,4
Londonderry,1,4
Belfast,1,14
Dungiven,3,4
Belfast,1,4
Newry,1,3
Londonderry,1,4
Belfast,1,4
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Ardoyne,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,4
Belfast,1,14
Londonderry,1,4
Portadown,1,14
Portadown,1,14
Belfast,1,14
Belfast,1,14
Belfast,1,4
Belfast,1,4
Belfast,1,4
Belfast,1,4
quezou city,3,1
Belfast,1,4
Highfield,1,4
Belfast,1,4
Belfast,1,4
Hamburg,3,1
Hamburg,3,1
Hamburg,3,1
Hamburg,3,1
Silverbridge,3,4
Belfast,1,4
Crossmaglen,3,4
Belfast,1,3
Bogata,1,7
Belfast,1,4
Belfast,1,3
Belfast,3,1
Strabane,3,14
Belfast,2,14
Belfast,3,1
Barrio Cutcut,2,4
Belfast,1,14
Belfast,3,14
Belfast,1,17
Belfast,3,14
Belfast,1,14
Belfast,1,14
Belfast,6,4
Belfast,1,14
Belfast,1,4
Belfast,1,4
Belfast,1,4
Belfast,1,14
Belfast,1,14
Montevideo,6,10
Dundonald,1,14
Belfast,1,14
Belfast,1,14
Miami,4,6
Claudy,3,14
tehran,3,7
Strabane,3,4
Belfast,1,4
Portadown,1,14
Trieste,3,21
Belfast,1,14
Lisnaskea,3,4
Newtownbutler,1,4
shiraz,3,7
Belfast,1,14
Belfast,1,14
Tehran,3,1
Belfast,3,4
Belfast,1,14
Rome,3,6
Belfast,1,1
Belfast,1,4
New York City,7,1
New York City,7,1
Belfast,1,14
Belfast,1,4
Belfast,1,4
Belfast,3,4
New York City,7,1
New York City,7,1
New York City,7,1
Belfast,1,14
